65
129, 10
135, 34
26, 9
113, 6
116, 35
139, 33
62, 42
183, 18
119, 7
28, 39
190, 9
134, 26
83, 39
175, 27
23, 50
197, 2
74, 6
190, 42
189, 25
134, 13
75, 23
194, 2
77, 50
31, 3
175, 48
14, 28
189, 37
187, 14
189, 44
82, 33
114, 5
128, 1
81, 16
53, 30
104, 10
124, 24
196, 50
128, 49
69, 33
28, 2
117, 30
102, 36
185, 36
17, 38
122, 14
110, 42
109, 40
56, 46
61, 25
94, 4
11, 9
68, 15
43, 15
182, 21
18, 8
14, 13
134, 35
179, 14
70, 18
97, 34
70, 28
164, 29
188, 25
63, 34
182, 33
